Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
882078bd8f69dc6e8fe73c87d8017e3c	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9487127	ASV2967
33f89beb3d97e3fd2d3cb894c889710d	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	 g__Desulfovibrio	0.9989767	ASV2968
7a84fd6b5e5c691d3d97c511f2ed6268	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	 g__Bilophila	0.9993235	ASV2969
891c06f88aedd57cd17ed7f586236b3b	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9987357	ASV297
785dc50e8d27dd4ea760435a0db04f82	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8437353	ASV2970
08998d720f1145146ee1e441012cf3fa	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9958505	ASV2971
4e330dcf9cf499d8663ac85e95b41e90	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9958371	ASV2972
b1a3bec7548c918b02838266f021b310	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999424	ASV2973
0f9a44f67274df53a3d2c4c08785574c	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9633191	ASV2974
b97f596278357603b2b24040b502dd47	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9935964	ASV2975
bc572560cd90b7b1cf63f2879fe03380	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9986598	ASV2976
90e504c00a15d6916d21ebbb823e5250	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	 f__Enterobacteriaceae	 f__Enterobacteriaceae	0.9999999	ASV2977
8723941d1605301b2c02adbb91aa9c26	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV2978
ce7691b6d49f666d43730ed37001ff13	Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	ASV2979
2b1e1541a8b14bbfbc7ef9f248c53781	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9999878	ASV298
438e9ea463520c02d1b3b14a2e45deb6	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	1	ASV2980
902281aaef8c9e3f6a021999efc64079	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.8884189	ASV2981
