OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
e00bc3d92cdea21b59133b9461456156	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified_Roseburia	0.99633
e022fa0ce064b28937ec12d5a55df120	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.8494189
e029c3c7123bcf480f162214a8e2d540	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9996672
e02c9f248f7c4d40d53709f3237f7923	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.7325965
e02d0be8746d68397c09b53ce23c5038	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.7336194
e037227469eef45cc94707d3753e33a3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.9998919
e03942f4fdac245a7d16ded7c8209b88	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9735868
e039a96d0806f3cd86c3864dbc995a66	Cyanobacteria	4C0d-2	YS2	unclassified_YS2	unclassified_YS2	unclassified_YS2	1
e0563e66d3f73b29aaee5309023ebdf9	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9993362
e075297545feabfc2dda56d70d1d972c	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9931055
e080c88166a08f1f8537eba59d09cb79	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	unclassified_Desulfovibrio	0.998289
e08dc103a524b05c8c3ed15b9cc23c43	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9651125
