Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	 f__Rikenellaceae	 f__Rikenellaceae	0.9990433	407e34f0b734145bc64bb10843d6e1a1
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.989488	7441618a72a8bcb768e337c2ff3c3988
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.7279647	86b782d8211a3125ab6b325c7dc6d211
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	17e12912798cc9f17f9af2a002248189
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 g__Bifidobacterium	0.7842317	0ba984c5dbce13441702d05c3a452180
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9995006	cfd8aaa363fd06acbbf5f851b74b44fa
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.99995	3fb79ec1ec03f41c4bc57c510db18fa5
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9530865	945a08d8eaae1e262fbf824cf20066e8
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9996269	0f4c8cf81f0ebd57bf71bb044eace810
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.8500902	6f92ff5ac95e7eecd61be50ee7bca58d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7622966	5adde5eb9e38de29d1be79286a216d1c
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9294041	35d0bdbb3a3013e9417f5ed45040e6a3
Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	0.9998277	a87b87fb307ce3ccceecd80af3b6dfe7
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9922847	0ceb3c4801dee506b9eda4b7c5cb6eee
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	 s__onderdonkii	0.9935575	096d902d7db6c74589111b190a98545a
Firmicutes	Clostridia	Clostridiales	Acidaminobacteraceae	Guggenheimella	 g__Guggenheimella	0.9999999	003355673d114eaf850d11450309c856
Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	 f__Mogibacteriaceae	 f__Mogibacteriaceae	0.9998739	3fb85cf7d3d858b243fa1c8b74dd2aa5
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.8578247	35232a9194993563ffb6c50aefb25112
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	 g__Actinomyces	0.9996669	27d6c3d4c83771c4eb7225a87958034c
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9997559	0f5895f2b6e1a0bf737a6ef918b52678
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	 s__lactaris	0.7122201	edca450cac0ae3a069282b71dea8df6d
Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	 g__Streptomyces	0.7522655	3bf31bcad35b9509db1417bd19969ba4
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9916283	0249bd14618ae7ec4bb480218f159283
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	 f__Erysipelotrichaceae	 f__Erysipelotrichaceae	0.9998242	43ff0a1438f378afb6167ab437a329fa
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.940674	1fea9a3468fb0cfa6cf7f5fb51974940
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9978192	c1ad39177373f8c0451acbd7bfb1d74b
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter_Eubacterium	 g__Pseudoramibacter_Eubacterium	1	90ddae19ff4da97abdabbb75f75089c8
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	 s__inulinivorans	0.8484068	56798e69067c725a0ac1255874de52fa
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	 g__Oxalobacter	0.9808206	dc86d25a5d178ec95217a9c6f2eac84c
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	 s__wittichii	0.8473765	51280fbc7fd2c662defa969b36610911
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.8700478	cc1c65bbbe86ba47f002b8dac983bfd9
Actinobacteria	Thermoleophilia	Solirubrobacterales	 o__Solirubrobacterales	 o__Solirubrobacterales	 o__Solirubrobacterales	0.9999999	bf4f22e4393ccfc74d171758ec3adb48
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Balneimonas	 g__Balneimonas	0.999174	d9e26ae4c80625b50abebb4febee798a
Proteobacteria	Gammaproteobacteria	Legionellales	 o__Legionellales	 o__Legionellales	 o__Legionellales	0.7382769	58729a1f049138f1fc68d48b96ac03d7
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	d8018304d49d69356728911b0b3d2a3d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9692086	d2ab4ff3bb45eda7304cc24a45f0845f
