	1_d0	10_d0	11_d0	12_d0	13_d0	14_d0	15_d0	16_d0	18_d0	2_d0	20_d0	21_d0	24_d0	25_d0	26_d0	29_d0	3_d0	4_d0	5_d0	6_d0	61_d0	62_d0	63_d0	64_d0	65_d0	66_d0	67_d0	68_d0	69_d0	70_d0	71_d0	72_d0	73_d0	74_d0	75_d0	76_d0	77_d0	78_d0	79_d0	8_d0	80_d0	81_d0	82_d0	83_d0	84_d0	85_d0	86_d0	87_d0	88_d0	89_d0	9_d0	90_d0
X64_d0	0.45895718	0.497794234	0.472790685	0.485781568	0.323203541	0.446932518	0.304463542	0.402155702	0.434485462	0.472244049	0.490892324	0.454486174	0.391236746	0.407331042	0.365956998	0.455659295	0.456099323	0.469127027	0.461929196	0.320843075	0.223799063	0.147494338	0.326899783	0	0.234176796	0.453265453	0.440056476	0.278865723	0.195903191	0.394248888	0.333896559	0.297909404	0.457233283	0.276736492	0.345713865	0.35638707	0.280678319	0.449858798	0.27259243	0.48918937	0.462165757	0.293349301	0.250229837	0.374157305	0.206123928	0.474612084	0.463064652	0.479387829	0.419431394	0.417705705	0.506138785	0.305139972
X65_d0	0.41711048	0.430670384	0.369830213	0.322641756	0.282526425	0.387267805	0.221209133	0.265671366	0.286751311	0.4424477	0.410293969	0.451816745	0.358871369	0.269954363	0.303251078	0.275598294	0.367588647	0.359377151	0.379921519	0.291664779	0.204844175	0.255492428	0.229998786	0.234176796	0	0.272581968	0.261077862	0.209869386	0.161681674	0.251398749	0.30273705	0.280247471	0.385560826	0.219247501	0.215681108	0.332933132	0.26302586	0.385615175	0.322601179	0.445046054	0.407156314	0.313330929	0.167378878	0.311838286	0.208652978	0.436504003	0.318313166	0.29621946	0.329078021	0.380288601	0.46242856	0.306158422
X66_d0	0.283113011	0.277073921	0.213861357	0.140946874	0.31329543	0.301648605	0.314226612	0.163951354	0.14065681	0.299039025	0.259275495	0.388989572	0.334096426	0.210574348	0.240260535	0.108267848	0.23903374	0.283118109	0.24871157	0.365904768	0.376525143	0.472748679	0.309505456	0.453265453	0.272581968	0	0.043075151	0.307327202	0.323963357	0.194584904	0.278745764	0.313626321	0.255543834	0.275487175	0.236043782	0.373186814	0.315570273	0.241808513	0.456538152	0.377564144	0.300776393	0.37442767	0.305230934	0.276440671	0.374375219	0.301766797	0.158726647	0.086479684	0.239920981	0.274472138	0.377794535	0.422484708
X67_d0	0.296447864	0.291095393	0.218615109	0.168400805	0.33874356	0.319364379	0.306132953	0.176606119	0.133830085	0.318183014	0.258272151	0.386150658	0.351615777	0.203299347	0.244636097	0.106515242	0.247647024	0.298633149	0.258954516	0.376402542	0.36269152	0.459654914	0.29835309	0.440056476	0.261077862	0.043075151	0	0.296106285	0.325453423	0.193753992	0.293427511	0.327942201	0.26742678	0.28828792	0.231230752	0.388785007	0.33002638	0.251232247	0.454192773	0.392433455	0.299623033	0.392238591	0.307322923	0.286671595	0.360835463	0.32271243	0.178672071	0.087652963	0.258167755	0.291493707	0.395419697	0.4093266
X68_d0	0.441590307	0.45935686	0.38261862	0.357362501	0.159293292	0.417370543	0.081960193	0.300067601	0.291781033	0.463846006	0.414368541	0.474772823	0.364315773	0.277070587	0.301376928	0.310183141	0.392087288	0.382179673	0.400762699	0.280998158	0.148961674	0.247029811	0.27611062	0.278865723	0.209869386	0.307327202	0.296106285	0	0.16732157	0.321872823	0.334539466	0.326010566	0.402015736	0.194266682	0.217457236	0.312388904	0.282507638	0.428822305	0.194679371	0.461922857	0.422945645	0.166468552	0.249531423	0.34546455	0.187538901	0.456190239	0.345879744	0.340871686	0.32843642	0.390440211	0.48227261	0.243455885
X69_d0	0.381676625	0.417201069	0.368218287	0.358541334	0.189962825	0.37375508	0.204019217	0.268500036	0.319377984	0.400356051	0.409635628	0.419261247	0.303266375	0.306969108	0.288910182	0.339272228	0.34977913	0.35891244	0.357237769	0.254535248	0.183114661	0.219234573	0.237605328	0.195903191	0.161681674	0.323963357	0.325453423	0.16732157	0	0.296104884	0.274774904	0.243309813	0.372597915	0.174023595	0.237852249	0.260816972	0.200579584	0.375612406	0.23527353	0.432773106	0.411137765	0.224001686	0.173820121	0.291325198	0.13376338	0.399606333	0.325570504	0.367655275	0.304959422	0.33473251	0.445843021	0.237487542
X70_d0	0.302450275	0.304770665	0.212258117	0.225421921	0.329740998	0.326414535	0.325470336	0.213523786	0.141139635	0.298277179	0.200112459	0.393959555	0.341265568	0.266036944	0.275804666	0.229305758	0.233683609	0.337898984	0.241034415	0.37076496	0.357439119	0.410127294	0.280200249	0.394248888	0.251398749	0.194584904	0.193753992	0.321872823	0.296104884	0	0.23210991	0.248732518	0.253235223	0.299807318	0.252697791	0.375406081	0.309832584	0.256659865	0.44892058	0.433273311	0.21860636	0.379787992	0.228007912	0.221340645	0.314256483	0.229842312	0.188767496	0.129824161	0.277773091	0.304047289	0.428292414	0.404153734
X71_d0	0.265539692	0.291800662	0.215733002	0.330008555	0.310286007	0.307702753	0.341034729	0.280230026	0.252670754	0.241730131	0.274170195	0.327258	0.259183221	0.301338306	0.274679535	0.349454788	0.237353366	0.347291773	0.23319748	0.273727035	0.342666843	0.349748124	0.312314891	0.333896559	0.30273705	0.278745764	0.293427511	0.334539466	0.274774904	0.23210991	0	0.148715795	0.23905594	0.239401546	0.284574363	0.269855109	0.226856472	0.247860703	0.363444147	0.380233219	0.244225731	0.291195899	0.260767287	0.154519396	0.28145045	0.241863837	0.266032955	0.308171822	0.278871096	0.267378719	0.382869494	0.325048713
X72_d0	0.255145788	0.290308794	0.309682786	0.304064669	0.255966678	0.273889008	0.336719055	0.285180987	0.31110335	0.271206871	0.3577337	0.341388621	0.212808326	0.317401886	0.2853061	0.370808274	0.251192427	0.336446887	0.2492919	0.21358802	0.329567527	0.296086769	0.278026563	0.297909404	0.280247471	0.313626321	0.327942201	0.326010566	0.243309813	0.248732518	0.148715795	0	0.241617563	0.22492366	0.296009158	0.225743457	0.184212622	0.25888053	0.360563802	0.351654927	0.314430891	0.237392841	0.187856646	0.181484799	0.227620957	0.270517447	0.259355719	0.347565237	0.267034505	0.24530982	0.345080639	0.310811071
X73_d0	0.136488886	0.131928264	0.236103087	0.179257458	0.291067033	0.188107289	0.405191446	0.23924355	0.254525712	0.197038479	0.283932289	0.355432918	0.242888699	0.338319456	0.273444203	0.315185998	0.083797308	0.252015522	0.077766621	0.288933959	0.422896122	0.469157651	0.379791379	0.457233283	0.385560826	0.255543834	0.26742678	0.402015736	0.372597915	0.253235223	0.23905594	0.241617563	0	0.306668617	0.314033911	0.257797263	0.247170186	0.132035891	0.42088482	0.301342625	0.29076437	0.329013014	0.363648351	0.141407804	0.371410995	0.191802516	0.118193848	0.261592131	0.203030775	0.150505187	0.29352339	0.392326805
X74_d0	0.346156885	0.358997519	0.322261912	0.306010284	0.202083119	0.309361895	0.223269575	0.245066097	0.281286903	0.355599477	0.360900067	0.407911765	0.272178364	0.270220229	0.246383923	0.29616792	0.291810424	0.306421323	0.303891577	0.217360332	0.23466951	0.291955711	0.258218217	0.276736492	0.219247501	0.275487175	0.28828792	0.194266682	0.174023595	0.299807318	0.239401546	0.22492366	0.306668617	0	0.192704088	0.22089364	0.142389723	0.332926662	0.274020146	0.378096197	0.349975469	0.21471318	0.216980381	0.248403963	0.205391979	0.351601425	0.27448783	0.327489069	0.245019837	0.29314753	0.400820369	0.246327648
X75_d0	0.362188864	0.38267995	0.320878894	0.269313501	0.296674778	0.333151256	0.245496909	0.208161709	0.219888343	0.384395212	0.355932657	0.412884269	0.283299877	0.228129825	0.219935153	0.245115417	0.310783543	0.312187336	0.321765103	0.253122808	0.285077035	0.360201431	0.146702844	0.345713865	0.215681108	0.236043782	0.231230752	0.217457236	0.237852249	0.252697791	0.284574363	0.296009158	0.314033911	0.192704088	0	0.30572459	0.229865175	0.351842482	0.340388796	0.39712952	0.356575344	0.298345757	0.250916662	0.26108845	0.241864684	0.376115326	0.268918271	0.267607435	0.238812839	0.307467987	0.417669918	0.274570852
X76_d0	0.234133169	0.292575945	0.392484161	0.291842018	0.206109938	0.262647218	0.329166007	0.25662136	0.362637013	0.234344615	0.42833741	0.39531874	0.211288225	0.376961702	0.324173727	0.392788794	0.246788147	0.280179449	0.244015817	0.201398012	0.358601855	0.379166979	0.354510816	0.35638707	0.332933132	0.373186814	0.388785007	0.312388904	0.260816972	0.375406081	0.269855109	0.225743457	0.257797263	0.22089364	0.30572459	0	0.168212488	0.279688421	0.352813732	0.307110507	0.410423282	0.246657138	0.304416279	0.26478768	0.289672518	0.301740852	0.298532641	0.419697305	0.280652982	0.229739747	0.315110178	0.30179833
X77_d0	0.268144608	0.304691417	0.350549737	0.29060493	0.213479194	0.273109651	0.299705772	0.233333261	0.31990869	0.28725017	0.377879279	0.379617506	0.200093682	0.324903244	0.268083584	0.340298294	0.249541257	0.302213549	0.25366161	0.208787329	0.287850255	0.310088803	0.274299921	0.280678319	0.26302586	0.315570273	0.33002638	0.282507638	0.200579584	0.309832584	0.226856472	0.184212622	0.247170186	0.142389723	0.229865175	0.168212488	0	0.290070391	0.285717099	0.349569876	0.36048512	0.21342509	0.252007991	0.187856513	0.238005457	0.294894675	0.253796043	0.361866842	0.233924224	0.214799072	0.350041294	0.271121958
X78_d0	0.147275714	0.14302324	0.23712179	0.177988117	0.33237402	0.213744352	0.455343226	0.254753786	0.229991554	0.185029797	0.267079048	0.361289684	0.302191334	0.357197582	0.308923652	0.305420466	0.116899343	0.257874341	0.111233035	0.330337673	0.454262544	0.474924486	0.38512283	0.449858798	0.385615175	0.241808513	0.251232247	0.428822305	0.375612406	0.256659865	0.247860703	0.25888053	0.132035891	0.332926662	0.351842482	0.279688421	0.290070391	0	0.48810927	0.295215091	0.285170769	0.37436984	0.382273673	0.219095141	0.406641067	0.195026631	0.13640469	0.249207301	0.271925423	0.208219161	0.300336402	0.454128932
X79_d0	0.468604756	0.486741801	0.472739054	0.475526105	0.232659605	0.446700924	0.187797837	0.415434952	0.456444882	0.480038426	0.502777303	0.474516848	0.389972377	0.42343646	0.365292987	0.470009539	0.440967609	0.481146943	0.448846017	0.314797592	0.226701746	0.233355164	0.387696583	0.27259243	0.322601179	0.456538152	0.454192773	0.194679371	0.23527353	0.44892058	0.363444147	0.360563802	0.42088482	0.274020146	0.340388796	0.352813732	0.285717099	0.48810927	0	0.513820278	0.475137793	0.202822294	0.331432591	0.359449108	0.237249027	0.472936831	0.457216098	0.491855837	0.395069639	0.39424175	0.519952799	0.264200317
