	10_d56	11_d56	12_d56	13_d56	14_d56	15_d56	16_d56	17_d56	18_d56	19_d56	2_d56	20_d56	21_d56	23_d56	24_d56	26_d56	27_d56	28_d56	29_d56	3_d56	30_d56	4_d56	5_d56	6_d56	61_d56	62_d56	64_d56	65_d56	66_d56	67_d56	68_d56	7_d56	70_d56	71_d56	72_d56	73_d56	74_d56	75_d56	76_d56	77_d56	78_d56	79_d56	8_d56	80_d56	81_d56	82_d56	83_d56	84_d56	85_d56	86_d56	88_d56	89_d56	9_d56	90_d56
X30_d56	0.235799122	0.165973334	0.229157289	0.145550374	0.169114024	0.141397675	0.133401266	0.389126767	0.172233213	0.192400794	0.130065596	0.127910635	0.163196757	0.214803245	0.145482195	0.15258839	0.159404607	0.175811908	0.172018843	0.147050318	0	0.095901495	0.143646491	0.135205185	0.224346609	0.21028998	0.248876654	0.250233549	0.224636931	0.18885735	0.206396441	0.181966606	0.312513315	0.168579969	0.164772964	0.439291753	0.242762392	0.296878038	0.163915799	0.155167263	0.208052928	0.208949174	0.144079928	0.241605939	0.176425043	0.161941303	0.177963801	0.16864728	0.255360055	0.469176055	0.272446137	0.190341839	0.109038943	0.274478888
X4_d56	0.22296395	0.160793636	0.211292922	0.134103442	0.170940814	0.125958564	0.114541258	0.395473018	0.156729559	0.19937748	0.1162778	0.104544599	0.156577504	0.197356819	0.131249279	0.114750562	0.133441526	0.157065226	0.188869827	0.125438283	0.095901495	0	0.151216186	0.124972952	0.209032066	0.193392974	0.250838583	0.252245056	0.217109371	0.192798257	0.208980904	0.171743409	0.292828813	0.150181066	0.148693382	0.446582343	0.223140779	0.294384539	0.169686167	0.154928534	0.199394965	0.183511839	0.127316961	0.221489763	0.173865101	0.164915805	0.16041011	0.162730575	0.232379556	0.455952138	0.246295449	0.178682099	0.115273152	0.252469522
X5_d56	0.222663397	0.200450483	0.257427276	0.191520885	0.208622897	0.132368298	0.184441096	0.353898549	0.18311286	0.142527959	0.163799485	0.165168504	0.185848883	0.256017102	0.129375167	0.184312635	0.173550265	0.161893105	0.241756559	0.159302765	0.143646491	0.151216186	0	0.157560298	0.19683183	0.176967406	0.226338634	0.24711094	0.186294245	0.170180368	0.24003185	0.153576386	0.244018807	0.174280662	0.18383383	0.378501383	0.240226975	0.223865939	0.137905445	0.192518244	0.249133058	0.200491001	0.163004792	0.229571342	0.140543017	0.163527887	0.165180912	0.177666987	0.250482097	0.395201556	0.21671639	0.230814673	0.132349664	0.214652303
X6_d56	0.236077311	0.102171559	0.150004246	0.131255381	0.117523341	0.14556242	0.116806695	0.429103947	0.13660361	0.201017372	0.137568767	0.130922686	0.124435733	0.14917291	0.109767683	0.122457853	0.165450128	0.10894188	0.196396017	0.115739197	0.135205185	0.124972952	0.157560298	0	0.221977926	0.221760736	0.280927564	0.180849494	0.249567246	0.151115647	0.154318839	0.174364442	0.325911479	0.150114687	0.164230615	0.46316602	0.256599516	0.318351857	0.196809608	0.168562454	0.147716857	0.219535919	0.112833208	0.248298929	0.198001855	0.169502017	0.196876619	0.169301414	0.243587235	0.483590872	0.278001718	0.132800018	0.134227396	0.28888773
X61_d56	0.222341217	0.251093853	0.298888474	0.227433799	0.243143707	0.174171751	0.239601106	0.446259467	0.216804608	0.210320818	0.241170847	0.203821358	0.190601447	0.304167208	0.168162257	0.217628832	0.165556605	0.167337124	0.292574124	0.162350592	0.224346609	0.209032066	0.19683183	0.221977926	0	0.142145889	0.286399505	0.303628181	0.247198009	0.137299058	0.254591409	0.162013872	0.211480423	0.141206938	0.1866054	0.466401659	0.175026297	0.282450073	0.219648075	0.232661539	0.293312407	0.172730926	0.166556347	0.158033125	0.135904693	0.159598558	0.147157004	0.155763419	0.166280268	0.420180977	0.178359662	0.228310898	0.213621662	0.212369448
X62_d56	0.242310125	0.265950671	0.311765565	0.237232876	0.257061427	0.190146524	0.247047148	0.439750552	0.236132386	0.14584002	0.218139563	0.207929521	0.22627939	0.303127118	0.172889055	0.230773338	0.195141007	0.179442036	0.288571277	0.166736988	0.21028998	0.193392974	0.176967406	0.221760736	0.142145889	0	0.279683848	0.320602634	0.257558045	0.169548467	0.271475601	0.114657222	0.171602804	0.151243763	0.20504976	0.469765724	0.135700066	0.199739578	0.212487758	0.239696833	0.299397485	0.14118886	0.18637602	0.111861507	0.133360273	0.195959969	0.116995087	0.195799132	0.19834164	0.357441676	0.12426797	0.253831614	0.21030563	0.152029613
X64_d56	0.328885491	0.304139692	0.342938503	0.263990863	0.294199504	0.244899008	0.276644919	0.359740677	0.248739249	0.279466862	0.257277241	0.242677279	0.254688899	0.295452364	0.26481227	0.245161815	0.264887776	0.300799309	0.316765928	0.2868051	0.248876654	0.250838583	0.226338634	0.280927564	0.286399505	0.279683848	0	0.33675137	0.220913545	0.289624185	0.300151077	0.292646494	0.298629958	0.275798988	0.249988499	0.304167115	0.329565891	0.339955678	0.24421585	0.202565914	0.331391655	0.253971132	0.265658383	0.316053596	0.230007742	0.244165639	0.25578501	0.266705971	0.328066007	0.439948651	0.281889718	0.281930833	0.232916475	0.30505906
X65_d56	0.3521277	0.201206871	0.172169944	0.196234803	0.188280396	0.223649282	0.207891074	0.51188701	0.227901368	0.285760316	0.25333648	0.244706285	0.205522593	0.202461562	0.216259349	0.202305394	0.283312473	0.23022054	0.248374689	0.245242838	0.250233549	0.252245056	0.24711094	0.180849494	0.303628181	0.320602634	0.33675137	0	0.31786483	0.222287194	0.175487612	0.287333079	0.397255196	0.255019733	0.251772606	0.531900323	0.369858417	0.411426022	0.305030992	0.218319045	0.152976549	0.285081305	0.22537892	0.331821171	0.284290479	0.242152756	0.288283548	0.255500022	0.326430244	0.564411434	0.363115233	0.19839321	0.236772518	0.38405873
X66_d56	0.300843525	0.284978588	0.346568778	0.265919485	0.267893101	0.207250238	0.258343815	0.317227026	0.253781142	0.228980885	0.249164653	0.226120703	0.247153727	0.336312937	0.239266747	0.216012374	0.226279313	0.263078059	0.311522693	0.239452066	0.224636931	0.217109371	0.186294245	0.249567246	0.247198009	0.257558045	0.220913545	0.31786483	0	0.250888066	0.312657422	0.252661665	0.248161323	0.250127944	0.234765514	0.341426223	0.304246814	0.261246941	0.17023809	0.212686678	0.322781083	0.240576116	0.226081634	0.28076295	0.219417641	0.234933482	0.237310014	0.230922016	0.294060505	0.401049739	0.240394586	0.284981491	0.196750799	0.234850826
X67_d56	0.277722683	0.185684818	0.234817369	0.190222406	0.163786156	0.181436232	0.197475315	0.464549719	0.176308375	0.181301628	0.22048539	0.189517619	0.169741822	0.243109157	0.119708965	0.192898027	0.165981905	0.115724462	0.238006498	0.115712223	0.18885735	0.192798257	0.170180368	0.151115647	0.137299058	0.169548467	0.289624185	0.222287194	0.250888066	0	0.188943553	0.143275227	0.246732226	0.135855224	0.186788099	0.486175732	0.226062549	0.295054123	0.233367191	0.207396595	0.222662001	0.185897123	0.136556422	0.203325149	0.1437055	0.163700796	0.153190663	0.167901359	0.20662454	0.455455473	0.220423588	0.183942956	0.189133423	0.246520821
X68_d56	0.277841084	0.142292585	0.15842265	0.183389042	0.137713265	0.221342767	0.184841953	0.510635771	0.176770396	0.296915012	0.217621854	0.18766764	0.162882999	0.182522712	0.184346525	0.197356483	0.225335975	0.196954193	0.254884227	0.205139137	0.206396441	0.208980904	0.24003185	0.154318839	0.254591409	0.271475601	0.300151077	0.175487612	0.312657422	0.188943553	0	0.263725174	0.367242392	0.212583847	0.187476409	0.535401969	0.299231988	0.395933569	0.260559684	0.220142093	0.166272568	0.245449289	0.19420282	0.27144182	0.230912533	0.203157224	0.236744331	0.202350769	0.294169057	0.563725919	0.317059098	0.118864414	0.214715663	0.33052321
X7_d56	0.257124437	0.226064109	0.264014085	0.208983179	0.231009786	0.162526776	0.214916329	0.423713808	0.212448021	0.107776569	0.198293227	0.190486239	0.204033296	0.279321109	0.133416636	0.200791843	0.162455612	0.158520402	0.255581517	0.132097446	0.181966606	0.171743409	0.153576386	0.174364442	0.162013872	0.114657222	0.292646494	0.287333079	0.252661665	0.143275227	0.263725174	0	0.201456224	0.153213603	0.209983656	0.46203384	0.168309455	0.217097389	0.213788032	0.218852557	0.272510481	0.156690225	0.158857938	0.170478054	0.141612152	0.185221453	0.137701368	0.200387793	0.204961526	0.380733523	0.173416383	0.254557947	0.190395179	0.187396597
X70_d56	0.278115704	0.363456325	0.395751026	0.325407418	0.342021781	0.291182041	0.341287892	0.433763896	0.333082033	0.222749017	0.321981531	0.292994085	0.297976901	0.412044739	0.261345868	0.299134839	0.260677023	0.259465162	0.393369091	0.257650418	0.312513315	0.292828813	0.244018807	0.325911479	0.211480423	0.171602804	0.298629958	0.397255196	0.248161323	0.246732226	0.367242392	0.201456224	0	0.258038315	0.266085482	0.460727535	0.168032913	0.189745904	0.264305826	0.315937007	0.400947926	0.228944388	0.283695854	0.212743447	0.211492173	0.264164853	0.21511343	0.272289651	0.257765703	0.28763633	0.143114641	0.348123606	0.285268892	0.170414664
X71_d56	0.232906698	0.195384385	0.233647365	0.170980858	0.180179409	0.146423118	0.170796858	0.44637041	0.16875466	0.186285133	0.165147939	0.140590203	0.151738482	0.22263675	0.123221215	0.16494859	0.138671741	0.121764421	0.235564746	0.096930383	0.168579969	0.150181066	0.174280662	0.150114687	0.141206938	0.151243763	0.275798988	0.255019733	0.250127944	0.135855224	0.212583847	0.153213603	0.258038315	0	0.146292522	0.483830681	0.177335172	0.276694484	0.199899539	0.196929082	0.22400268	0.142258428	0.121269774	0.156510231	0.12582072	0.163298837	0.109411877	0.115889251	0.165863619	0.444055491	0.202967582	0.183381074	0.173962682	0.216430221
X72_d56	0.186695212	0.198543115	0.220340539	0.15430607	0.167747383	0.177969932	0.160215672	0.439376433	0.185570328	0.255836402	0.153284721	0.119474446	0.144757837	0.218938878	0.145213308	0.147203369	0.151419102	0.177283738	0.231085458	0.16380136	0.164772964	0.148693382	0.18383383	0.164230615	0.1866054	0.20504976	0.249988499	0.251772606	0.234765514	0.186788099	0.187476409	0.209983656	0.266085482	0.146292522	0	0.472366401	0.221396722	0.328551739	0.189433693	0.185133486	0.212339431	0.179916591	0.178172703	0.201734067	0.164490606	0.125533762	0.165674397	0.133203159	0.212198937	0.4870381	0.252724461	0.154863491	0.137941612	0.268385422
X73_d56	0.449883054	0.478905034	0.526431962	0.483607604	0.508146088	0.420198487	0.474211063	0.280441738	0.48731164	0.421924996	0.435048833	0.451088655	0.455645882	0.511926581	0.457998998	0.449932565	0.470834601	0.475821597	0.498944215	0.474498376	0.439291753	0.446582343	0.378501383	0.46316602	0.466401659	0.469765724	0.304167115	0.531900323	0.341426223	0.486175732	0.535401969	0.46203384	0.460727535	0.483830681	0.472366401	0	0.511577512	0.370226085	0.378177608	0.403041754	0.52360111	0.485914517	0.467346924	0.5066716	0.442123483	0.438977857	0.463142041	0.484310903	0.509732018	0.391551338	0.460959568	0.511067219	0.412976158	0.440692087
X74_d56	0.250097951	0.280236496	0.335267665	0.272880392	0.285777135	0.241197625	0.280521171	0.477066944	0.264709329	0.202110824	0.254055761	0.232950465	0.233369721	0.34096372	0.220857518	0.255171238	0.205751946	0.195709239	0.340324323	0.196786421	0.242762392	0.223140779	0.240226975	0.256599516	0.175026297	0.135700066	0.329565891	0.369858417	0.304246814	0.226062549	0.299231988	0.168309455	0.168032913	0.177335172	0.221396722	0.511577512	0	0.1974802	0.265424208	0.287471804	0.342909326	0.190866296	0.221343076	0.150263198	0.179779281	0.235368294	0.144500799	0.209445345	0.19189283	0.349089628	0.150704263	0.261803375	0.256162636	0.164980729
X75_d56	0.332174987	0.359862895	0.418484102	0.344196752	0.369834058	0.281647162	0.34841362	0.34320215	0.328282676	0.194257598	0.311177448	0.313884063	0.331448537	0.40417434	0.282093262	0.328269697	0.299402675	0.270540826	0.398437511	0.269874937	0.296878038	0.294384539	0.223865939	0.318351857	0.282450073	0.199739578	0.339955678	0.411426022	0.261246941	0.295054123	0.395933569	0.217097389	0.189745904	0.276694484	0.328551739	0.370226085	0.1974802	0	0.260434538	0.340925447	0.411239083	0.268065056	0.29978178	0.245314014	0.227355771	0.306307829	0.233416529	0.316886417	0.303857662	0.231114675	0.189369794	0.370672993	0.298709344	0.152366739
X76_d56	0.222577326	0.222787529	0.285408548	0.217607259	0.23781812	0.176528003	0.182508105	0.302907259	0.222549889	0.22104893	0.169001431	0.165666092	0.204032959	0.26304362	0.189183779	0.21108304	0.180150457	0.22261606	0.243966161	0.199223232	0.163915799	0.169686167	0.137905445	0.196809608	0.219648075	0.212487758	0.24421585	0.305030992	0.17023809	0.233367191	0.260559684	0.213788032	0.264305826	0.199899539	0.189433693	0.378177608	0.265424208	0.260434538	0	0.21129274	0.261973286	0.218148881	0.204262664	0.247732522	0.181536968	0.197996184	0.203573602	0.196889242	0.271215662	0.438095711	0.232861116	0.246687199	0.141994159	0.232156283
X77_d56	0.267613682	0.181477561	0.214139127	0.148211285	0.181273232	0.159980614	0.136617023	0.363808938	0.175318967	0.223191505	0.173592651	0.165183572	0.162843263	0.208697609	0.157857298	0.113150826	0.182269686	0.204646042	0.162454233	0.181324332	0.155167263	0.154928534	0.192518244	0.168562454	0.232661539	0.239696833	0.202565914	0.218319045	0.212686678	0.207396595	0.220142093	0.218852557	0.315937007	0.196929082	0.185133486	0.403041754	0.287471804	0.340925447	0.21129274	0	0.193643135	0.201357543	0.160304556	0.272039482	0.219814689	0.175301927	0.221021837	0.195627218	0.265330804	0.46586566	0.288726153	0.200523219	0.146512892	0.316761221
